Column1,AQR,T4Q,31/12/18,31/12/17,31/12/16,31/12/15,31/12/14,31/12/13,31/12/12,31/12/11,31/12/10,31/12/09,CAGR
"Revenue","205,140","291,306","337,434","378,801","399,617","491,631","537,690","560,343","461,744","422,891","466,399","341,483","-0.13%"
"YoY %","-29.58%","-13.67%","-10.92%","-5.21%","-18.72%","-8.57%","-4.04%","21.35%","9.19%","-9.33%","36.58%","-",""
"Horiz. %","60.07%","85.31%","98.81%","110.93%","117.02%","143.97%","157.46%","164.09%","135.22%","123.84%","136.58%","100.00%",""
"PBT","5,460","-135,543","-132,525","-13,987","-7,262","-19,819","-32,093","541","-20,722","-22,811","17,266","15,575","-"
"YoY %","104.03%","-2.28%","-847.49%","-92.61%","63.36%","38.25%","-6,032.16%","102.61%","9.16%","-232.12%","10.86%","-",""
"Horiz. %","35.06%","-870.26%","-850.88%","-89.80%","-46.63%","-127.25%","-206.05%","3.47%","-133.05%","-146.46%","110.86%","100.00%",""
"Tax","-15,680","-4,668","-987","-749","-2,695","3,267","5,451","-41","1,979","2,860","-4,749","-5,218","-16.88%"
"YoY %","-235.90%","-372.95%","-31.78%","72.21%","-182.49%","-40.07%","13,395.12%","-102.07%","-30.80%","160.22%","8.99%","-",""
"Horiz. %","300.50%","89.46%","18.92%","14.35%","51.65%","-62.61%","-104.47%","0.79%","-37.93%","-54.81%","91.01%","100.00%",""
"NP","-10,220","-140,211","-133,512","-14,736","-9,957","-16,552","-26,642","500","-18,743","-19,951","12,517","10,357","-"
"YoY %","92.71%","-5.02%","-806.03%","-48.00%","39.84%","37.87%","-5,428.40%","102.67%","6.05%","-259.39%","20.86%","-",""
"Horiz. %","-98.68%","-1,353.78%","-1,289.10%","-142.28%","-96.14%","-159.81%","-257.24%","4.83%","-180.97%","-192.63%","120.86%","100.00%",""
"NP to SH","-10,252","-140,321","-133,615","-14,736","-9,957","-16,552","-26,642","500","-15,349","-17,969","9,557","9,938","-"
"YoY %","92.69%","-5.02%","-806.73%","-48.00%","39.84%","37.87%","-5,428.40%","103.26%","14.58%","-288.02%","-3.83%","-",""
"Horiz. %","-103.16%","-1,411.96%","-1,344.49%","-148.28%","-100.19%","-166.55%","-268.08%","5.03%","-154.45%","-180.81%","96.17%","100.00%",""
"Tax Rate","287.18    %","-     %","-     %","-     %","-     %","-     %","-     %","7.58    %","-     %","-     %","27.50    %","33.50    %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-17.91%","-",""
"Horiz. %","857.25%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","22.63%","0.00%","0.00%","82.09%","100.00%",""
"Total Cost","215,360","431,517","470,946","393,537","409,574","508,183","564,332","559,843","480,487","442,842","453,882","331,126","3.99%"
"YoY %","-50.09%","-8.37%","19.67%","-3.92%","-19.40%","-9.95%","0.80%","16.52%","8.50%","-2.43%","37.07%","-",""
"Horiz. %","65.04%","130.32%","142.23%","118.85%","123.69%","153.47%","170.43%","169.07%","145.11%","133.74%","137.07%","100.00%",""
"Net Worth","42,082","42,082","4,558,894","177,652","191,585","201,947","215,969","172,899","142,735","158,442","171,986","154,547","45.62%"
"YoY %","0.00%","-99.08%","2,466.19%","-7.27%","-5.13%","-6.49%","24.91%","21.13%","-9.91%","-7.88%","11.28%","-",""
"Horiz. %","27.23%","27.23%","2,949.83%","114.95%","123.97%","130.67%","139.74%","111.87%","92.36%","102.52%","111.28%","100.00%",""
"Div","-","0","-","-","-","-","-","3,033","-","-","2,442","4,890","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-50.05%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","62.02%","0.00%","0.00%","49.95%","100.00%",""
"Div Payout %","-     %","-     %","-     %","-     %","-     %","-     %","-     %","606.67    %","-     %","-     %","25.56    %","49.21    %","-"
"YoY %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","-48.06%","-",""
"Horiz. %","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","0.00%","1,232.82%","0.00%","0.00%","51.94%","100.00%",""
"Net Worth","42,082","42,082","4,558,894","177,652","191,585","201,947","215,969","172,899","142,735","158,442","171,986","154,547","45.62%"
