Date,Open Price,Target Price,Upside/Downside,Price Call,Source
"30/08/2019","1.16","1.53","+0.37 (31.90%)","BUY","MIDF"
"30/08/2019","1.16","1.65","+0.49 (42.24%)","BUY","KENANGA"
"30/08/2019","1.16","2.04","+0.88 (75.86%)","BUY","HLG"
"30/08/2019","1.16","1.89","+0.73 (62.93%)","BUY","AmInvest"
"30/08/2019","1.16","1.82","+0.66 (56.90%)","BUY","Affin Hwang Capital"
"16/07/2019","1.35","1.89","+0.54 (40.00%)","BUY","AmInvest"
"11/06/2019","1.37","1.89","+0.52 (37.96%)","BUY","AmInvest"
"28/05/2019","1.22","1.65","+0.43 (35.25%)","BUY","MIDF"
"28/05/2019","1.22","1.65","+0.43 (35.25%)","BUY","KENANGA"
"28/05/2019","1.22","2.25","+1.03 (84.43%)","BUY","HLG"

